location,week number,all deaths,non_covid,covid,average 2015-2019,excess deaths,unexplained excess deaths,country
,11 to 26,All causes,,COVID 19,,,,
Hospital,11,4582,4577,5,4872,-290,-295,England
Hospital,12,4388,4288,100,4651,-263,-363,England
Hospital,13,4750,4262,488,4392,358,-130,England
Hospital,14,7420,4435,2985,4543,2877,-108,England
Hospital,15,8124,3397,4727,4696,3428,-1299,England
Hospital,16,8909,3081,5828,4642,4267,-1561,England
Hospital,17,7757,3193,4564,4562,3195,-1369,England
Hospital,18,5999,2956,3043,4372,1627,-1416,England
Hospital,19,4157,2298,1859,4208,-51,-1910,England
Hospital,20,5065,3265,1800,4444,621,-1179,England
Hospital,21,4312,3074,1238,4292,20,-1218,England
Hospital,22,3583,2641,942,3556,27,-915,England
Hospital,23,3798,2957,841,4323,-525,-1366,England
Hospital,24,3648,3026,622,4067,-419,-1041,England
Hospital,25,3340,2909,431,4062,-722,-1153,England
Hospital,26,3177,2821,356,3941,-764,-1120,England
Care Home,11,2372,2372,0,2409,-37,-37,England
Care Home,12,2236,2234,2,2216,20,18,England
Care Home,13,2352,2332,20,2113,239,219,England
Care Home,14,3592,3405,187,2114,1478,1291,England
Care Home,15,4704,3936,768,2129,2575,1807,England
Care Home,16,7012,5084,1928,2134,4878,2950,England
Care Home,17,7587,4918,2669,2147,5440,2771,England
Care Home,18,6144,3815,2329,1978,4166,1837,England
Care Home,19,4050,2460,1590,1905,2145,555,England
Care Home,20,4279,2687,1592,2012,2267,675,England
Care Home,21,3193,2147,1046,1959,1234,188,England
Care Home,22,2381,1711,670,1599,782,112,England
Care Home,23,2290,1754,536,1977,313,-223,England
Care Home,24,2020,1660,360,1839,181,-179,England
Care Home,25,1836,1594,242,1893,-57,-299,England
Care Home,26,1734,1553,181,1834,-100,-281,England
Home,11,2562,2562,0,2397,165,165,England
Home,12,2502,2501,1,2260,242,241,England
Home,13,2579,2565,14,2194,385,371,England
Home,14,3604,3493,111,2209,1395,1284,England
Home,15,3878,3569,309,2261,1617,1308,England
Home,16,4256,3858,398,2262,1994,1596,England
Home,17,4532,4130,402,2287,2245,1843,England
Home,18,4014,3778,236,2165,1849,1613,England
Home,19,3006,2858,148,2101,905,757,England
Home,20,3569,3428,141,2285,1284,1143,England
Home,21,3307,3206,101,2270,1037,936,England
Home,22,2585,2520,65,1779,806,741,England
Home,23,3188,3114,74,2275,913,839,England
Home,24,3011,2964,47,2131,880,833,England
Home,25,2840,2791,49,2098,742,693,England
Home,26,2857,2829,28,2145,712,684,England
Other,11,807,807,0,776,31,31,England
Other,12,779,779,0,740,39,39,England
Other,13,732,729,3,745,-13,-16,England
Other,14,823,775,48,751,72,24,England
Other,15,857,762,95,739,118,23,England
Other,16,980,799,181,773,207,26,England
Other,17,965,794,171,779,186,15,England
Other,18,847,707,140,764,83,-57,England
Other,19,733,614,119,729,4,-115,England
Other,20,870,779,91,787,83,-8,England
Other,21,774,704,70,784,-10,-80,England
Other,22,679,641,38,675,4,-34,England
Other,23,719,682,37,775,-56,-93,England
Other,24,712,684,28,766,-54,-82,England
Other,25,700,678,22,759,-59,-81,England
Other,26,646,637,9,777,-131,-140,England
